Seq,Year,Region,myVar,sqrtSeedWidth_mm,sqrtSeed_length_mm,sqrtDispersal_length_mm,sqrtDispersal_and_seed_mm,sqrtSeedShapeIndex,Weight_Tot,Weight_S,Weight_D
95,2002,Alvar,1.699117418,1.224744871,1.811905075,8.311618374,8.506820793,1.479414299,0.0084,0.0036,0.0048
96,2002,Prairie,1.56556699,1.012422837,1.685526624,6.814103022,7.019472915,1.664844532,0.0078,0.0036,0.0042
97,2002,Prairie,1.328156617,1.046900186,1.511290839,6.968357052,7.130357635,1.443586369,0.0078,0.0036,0.0042
98,2002,Prairie,1.549516053,1.040672859,1.578923684,7.165054082,7.336961224,1.517214243,0.0078,0.0036,0.0042
99,2002,Prairie,1.460479373,1.018331969,1.672124397,7.108023635,7.302054505,1.642022884,0.0078,0.0036,0.0042
100,2002,Prairie,1.46355731,1.10317723,1.661926593,7.465855611,7.648594642,1.506491023,0.0078,0.0036,0.0042
101,2002,Alvar,1.622035758,1.073778376,1.627574883,7.520771237,7.69486842,1.515745632,0.0077,0.0036,0.0041
102,2002,Alvar,1.849053812,1.054039847,1.973322072,7.36091027,7.620826727,1.872151301,0.0077,0.0036,0.0041
103,2002,Alvar,1.762668432,1.034408043,1.935200248,7.193886293,7.449630863,1.870828693,0.0077,0.0036,0.0041
104,2002,Alvar,1.309580085,0.838450953,1.736087555,6.617552418,6.841491066,2.070589281,0.0077,0.0036,0.0041
105,2002,Alvar,1.857148352,1.15758369,1.867618805,7.109500686,7.350714251,1.613376917,0.0077,0.0036,0.0041
106,2002,Alvar,1.538830725,1.056409012,1.640121947,7.710641997,7.88314658,1.552544449,0.0073,0.0036,0.0037
107,2002,Alvar,1.37113092,0.921954446,1.569394788,8.078737525,8.229763059,1.702247649,0.0073,0.0036,0.0037
108,2002,Alvar,1.467991826,0.982344135,1.630337388,7.571657678,7.745192057,1.659639764,0.0073,0.0036,0.0037
109,2002,Alvar,1.250599856,1.040672859,1.603121954,7.540424391,7.708955831,1.540466766,0.0073,0.0036,0.0037
110,2002,Alvar,1.54337293,0.971596624,1.60623784,7.626598193,7.793907877,1.653194135,0.0073,0.0036,0.0037
