Seq,xObs,yObs
192,1.339402852,7.577334624
193,1.235718415,7.13063812
194,0.991967741,6.658152897
195,1.245391505,6.891951828
196,1.37658999,6.583767918
197,1.228006515,6.869061071
198,1.306139349,6.82297589
199,1.234908904,6.743663693
200,1.343130671,6.540030581
201,1.589024858,7.277430865
202,1.591540135,7.456876021
203,1.398213145,6.71602561
204,1.594365077,6.605527988
205,1.414920492,6.026939522
206,1.677200048,7.337097519
207,1.616477652,7.410600515
208,1.864939677,8.036106022
209,1.221474519,5.364699432
210,1.683151805,7.763439959
211,1.452928078,7.656108672
212,0.944986772,5.353223328
213,1.384196518,7.632758348
214,1.424780685,7.393172526
215,1.39140217,7.393240156
216,1.449137675,7.179763227
217,1.443260198,7.220457049
218,1.406769349,6.99428338
219,1.30690474,7.143318557
220,1.55627761,7.752354481
221,1.426183719,7.100985847
222,1.317952958,6.348936919
223,1.104536102,5.252903959
224,1.448447445,6.803234525
225,1.151520734,6.744553358
226,1.368575902,6.551793648
227,1.463898904,6.368123743
228,1.366016105,6.552938272
229,1.125610945,5.446925738
230,1.464923206,6.575940997
231,1.430034965,6.407089823
232,1.261744824,6.609538562
233,1.352035502,6.611656373
234,1.319848476,5.255283056
235,1.391042774,7.303150005
236,1.60530371,6.631440266
237,1.24498996,5.421254467
238,1.66403125,6.273037542
239,1.461848145,7.306230218
240,1.64377614,6.630384604
241,1.334166406,6.732681487
242,1.467991826,7.248930956
243,1.285690476,7.297602346
244,1.403923075,7.043720608
245,1.578290214,6.875318174
246,1.350185172,7.371092185
247,1.302689526,7.42872802
248,1.382389236,7.433168907
249,1.347219359,7.357920902
250,1.329285522,7.965236971
251,1.300769003,5.690694158
252,1.508641773,5.76680154
253,1.268463638,5.91109127
254,1.301537552,5.659416931
255,1.165332571,5.668509504
256,1.590282994,6.164414003
257,1.268463638,5.956173268
258,1.359411637,5.688145568
259,0.941806774,4.49310583
260,1.45361618,5.350046729
261,1.314914446,7.006282895
262,1.203744159,6.738323234
263,1.079351657,6.122826145
264,1.377679208,6.546678547
265,1.354990775,6.228643512
266,1.518881167,7.506663706
267,1.333041635,6.874736359
268,0.669328021,5.514254256
269,1.328156617,5.890415945
270,1.250199984,6.968500556
271,1.570668647,4.3259681
272,1.576705426,3.480229877
273,1.083051245,3.544291184
274,1.083512806,3.937638886
275,1.408190328,4.090843434
276,1.374772708,6.668508079
277,1.311106403,6.346731442
278,1.207890724,5.845511098
279,1.496662955,5.496817261
280,1.511621646,6.179644003
281,1.395349419,8.03324343
282,1.140175425,7.586237539
283,1.313773192,7.318811379
284,1.223519514,7.258167813
285,1.311487705,8.00918223
286,1.320605922,6.783288288
287,1.63370744,6.965127422
288,1.428985654,6.379576788
289,1.343874994,7.731946715
290,1.27514705,6.681466905
291,1.479188967,6.407105431
292,1.281015222,5.462233975
293,1.56140962,5.760381932
294,1.394274005,6.058712735
295,1.660421633,5.790509477
296,1.441873781,6.172519745
297,1.359043781,6.051776599
298,1.427235089,6.31110133
299,1.497330959,6.106881364
300,1.445683229,7.048120317
301,1.218605761,7.57627877
302,1.202081528,7.162192402
303,1.331164903,7.52210077
304,1.261744824,7.248034216
305,0.773950903,6.4996923
306,1.186170308,4.552142353
307,1.503662196,4.695103833
308,1.386362146,5.911683347
309,1.619567844,5.515886148
310,1.462532051,5.762204439
311,1.104988688,5.832923795
312,1.14629839,5.204805472
313,1.241370211,5.868134286
314,0.702139587,4.722816956
315,1.333041635,5.16962281
316,0.782304289,4.957116097
317,1.29614814,7.635378183
318,1.332291259,7.803268546
319,1.243382483,7.463243263
320,1.546285873,8.166333327
321,1.697645428,7.527217281
322,1.428285686,7.474623736
323,1.586820721,7.462171266
324,1.591540135,7.01819065
325,1.844993225,7.514186583
326,1.609347694,7.740671805
327,1.345734,7.502799478
328,0.994987437,5.65667747
329,1.194152419,7.704089823
330,1.156719499,6.403592742
331,1.459109317,6.806540972
332,1.119821414,6.449185995
333,1.337535046,7.489192213
334,1.366016105,7.223087982
335,1.338656042,7.488724858
336,1.481553239,7.619448799
337,1.223519514,5.538501602
338,1.1,5.479051013
339,1.590282994,7.352890588
340,1.003493896,4.973228328
341,1.566205606,7.082584274
342,1.484587485,7.124394711
343,1.670329309,6.509838708
344,0.809938269,5.594640292
345,1.132254388,6.194755847
346,1.46116392,7.395268758
347,1.383112432,6.005247705
348,1.450861813,7.80461402
349,1.433178286,7.745708489
350,1.438401891,7.861361205
351,1.288409873,5.737421023
352,1.664632091,7.466190461
353,1.009455299,5.988154975
354,0.85498538,5.484432514
355,1.56556699,7.3108823
356,1.592796283,7.018618098
357,1.36784502,6.852444819
358,1.610279479,6.398202873
359,1.058772875,5.543194025
360,1.992234926,7.261955659
361,1.435618334,7.377262365
362,1.24739729,7.317239917
363,0.935414347,6.181747326
364,1.404279175,7.355270219
365,1.311487705,7.527416555
366,1.356097342,6.995498553
367,1.349073756,6.964553108
368,1.415980226,7.050815556
369,1.424780685,7.035055082
370,0.899444273,5.339662911
371,1.1823705,4.777656329
372,0.91214034,5.017768428
373,1.648029126,5.783338136
374,1.648939053,6.346416312
375,1.099545361,4.572526654
376,1.190378091,5.149854367
377,1.110855526,5.02533581
378,0.945515732,4.946918233
379,1.015381702,5.179768335
380,1.27984374,5.280719648
381,1.099545361,5.936581508
382,1.629417074,8.187795796
383,1.039230485,6.031915119
384,1.021273715,6.438012116
385,1.52118375,7.530073041
386,1.404635184,7.10168994
387,0.504975247,5.180057915
388,1.355728586,7.017335677
389,1.197914855,6.554616694
390,1.397139936,8.013114251
391,1.317193987,6.207012164
392,1.421970464,5.922499472
393,1.357571361,5.994580886
394,1.105441088,5.900593191
395,1.038749248,5.93818154
396,1.15974135,7.312181617
397,1.234503949,6.763209297
398,1.274754878,5.133809502
399,0.734846923,7.017691928
400,1.046422477,6.105571226
401,1.09772492,5.164106893
402,1.092245394,5.546710737
403,1.489966443,7.273994776
404,1.518881167,7.433908797
405,1.395349419,6.97875347
406,1.444299138,5.128547553
407,1.010445446,4.785707889
408,1.281015222,5.298490351
409,0.979285454,5.846195344
410,1.005484958,4.734553833
411,1.215318888,5.36441982
412,1.270039369,4.968601413
413,1.502664301,4.892851929
414,0.912688337,4.648333035
415,1.233288287,5.060928769
416,1.205819224,4.036706578
417,1.576705426,4.81601495
418,1.415980226,4.668832831
419,0.736885337,4.252646235
420,1.14629839,4.341658669
421,1.119821414,6.234340382
422,1.17686023,6.302142493
423,1.116691542,6.058712735
424,1.114001795,5.036467016
425,1.15974135,6.37746031
426,0.991967741,5.899745757
427,0.915423399,6.208623036
428,0.883742044,6.198951524
429,1.18025421,6.239871794
430,1.143678276,6.613849106
431,0.785493475,6.952337736
432,1.173882447,6.87786304
433,1.162325256,7.046701356
434,0.403732585,5.715505227
435,1.208304597,6.815937206
436,1.458423807,7.192078976
437,1.505656003,6.707905783
438,1.433875866,5.290746639
439,1.651665826,6.5520989
440,1.555634919,5.890925224
441,1.315294644,6.961752653
442,1.043072385,4.55905692
443,1.166619047,4.621904369
444,1.293445012,6.199677411
445,1.139298029,6.208461967
446,0.980815987,5.157324888
447,1.483576759,6.62283927
448,1.273577638,6.299682532
449,1.217784874,4.949242366
450,1.545315502,7.349965986
451,1.011928851,5.456189146
452,1.234503949,6.972230633
453,1.472412986,7.818567644
454,1.102270384,6.261150054
455,1.407480018,8.217116282
456,1.022252415,5.340786459
457,0.909395404,5.256709998
458,1.02859127,6.062095347
459,1.090412766,5.876053097
460,1.628496239,7.458015822
461,1.421970464,6.136855873
462,1.346105494,6.022956085
463,1.253395389,6.035561283
464,1.357939616,5.249285666
465,1.564928113,6.051198228
466,1.516245363,6.347755509
467,1.228820573,5.47640393
468,1.462190138,5.779100276
469,1.240967365,5.515251581
470,1.435966573,6.098114463
